Uni Name,Country,State,Exact Location,Official website url,Rank in QS Rankings,Average Fee per year in AUD,minimum IELTS overall,IETLS reading,IETLS listening,IETLS writing,IETLS speaking,IELTS valid duration,minimum TOEFL IBT overall,TOEFL IBT listening,TOEFL IBT reading,TOEFL IBT speaking,TOEFL IBT writing,minimum PTE overall,PTE speaking & writing,PTE reading,PTE listening,Minimum GPA required,High School Qualifications Accepted,ATAR,Avg Internation Baccalaureate Diploma (IB) Grade,UK GCE A Levels,Aggregate 12 percentage,Application Fee,Scholarship Offered To Internation Students With Links
Avondale University,Australia,NSW,,https://www.avondale.edu.au/,None,,,,,,,,,,,,,,,,,,,,,,,,
Charles Sturt University,Australia,NSW,,https://www.csu.edu.au/,,,6,5.5,5.5,5.5,5.5,2,,,,,,,,,,,,,,,,,
Macquarie University,Australia,NSW,,,195,37000,6.5,6,6,6,6,2,83,12,13,18,21,58,52,52,52,depends on course,,,,,,,"Medibank Undergraduate Coursework Scholarship  ,  Nepal $10,000 Early Acceptance Scholarship, Macquarie University $5,000 Regional Scholarship, Vice-Chancellor's International Scholarship, Macquarie University UAC International Scholarship, Medibank Undergraduate Coursework Scholarship"
Southern Cross University,Australia,NSW,,https://www.scu.edu.au/,701,30000,6,5.5,5.5,5.5,5.5,,,,,,,,,,,2.5,,70,,,,,"International Advancement Scholarship (current student), Academic Performance Scholarship (current student), International Outstanding Academic Performance Scholarship (current student), SCU International Women in STEM Scholarship (future student),
Vice Chancellor’s Academic Excellence (future student),
Vice Chancellor’s International Diversification Scholarship (future student),
SCU International Regional Scholarship (future student), Destination Australia Scholarship,
Ralph Barclay Braun Memorial Honours Scholarship,
Scholarships for Research Students"
University of New England,Australia,NSW,,https://www.une.edu.au/,801,28000,6,5.5,5.5,5.5,5.5,,79,,,,22,57,50,50,50,2.5,,,,,65,,"ASEAN Bursary, Destination Australia Program Scholarship 2023, UNE International Bursary"
University of New South Wales,Australia,NSW,,https://www.unsw.edu.au/,45,50000,6.5,6,6,6,6,2,90,22,22,22,23,64,54,54,54,,"IB, GCE A-Levels",,"Grade 4 or above in one of the following IB English courses
English A: language and literature at standard or higher level
English A: literature at standard or higher level
English B at higher level",A minimum of grade C in a Humanities-based subject at an A2 level or a minimum of grade C in the General Paper at an A2 level,,,"Richard and Isolda Munz Award in Music UGCA1032, Mitchell History Award UGCA1399 , Arts & Social Sciences Southeast Asia Travel Award (PUTR1011)"
University of Newcastle,Australia,NSW,,https://www.newcastle.edu.au/,192,38000,6,6,6,6,6,,60,12,13,18,21,50,,,,,,,,,,,"Academic Excellence Scholarships Recognising Outstanding Performance in Undergraduate Studies, College of International Education International Pathways Scholarship, ELBP Start Now Scholarship, International Excellence Scholarship (Information Technology and Computer Science), Onshore Excellence Scholarship, South Asia Excellence Scholarship, The Parker Fellowship"
University of Sydney,Australia,NSW,,https://www.sydney.edu.au/,41,50000,6.5,6,6,6,6,,85,17,17,17,19,61,54,54,54,,,,30,,,,"Vice-Chancellor's International Scholarships Scheme, Charles Herbert Currey Memorial Scholarship, Frank McDonald Memorial Fund, International and Global Studies Travelling Scholarship, Language Student Travel Scholarship"
University of Technology Sydney,Australia,NSW,,https://www.uts.edu.au/,137,42000,6.5,6,6,6,6,,79,,,,21,58,50,,,,,,,,,,"UTS Vice-Chancellor’s International Undergraduate Scholarship, Undergraduate Academic Excellence International Scholarship, UTS International Baccalaureate (IB) Scholarship, UTS Enrolled Nurse International Scholarship, UTS Undergraduate Tuition Fee Scholarship"
University of Wollongong,Australia,NSW,,https://www.uow.edu.au/,185,26000,6,6,6,6,6,2,70,17,18,17,18,54,54,47,47,2.7,,,,,,,"Country Specific Bursary, Faculty of Science, Medicine and Health International Schools Scholarship, University Excellence Scholarships, Diplomat scholarship"
Western Sydney University,Australia,NSW,,https://www.westernsydney.edu.au/,501,32000,6.5,6,6,6,6,2,82,13,13,18,21,58,50,50,50,2.9,,,24,a score of 6# from 3 Advanced Level core subjects only,,,"Western Sydney International Scholarships – Undergraduate, Vice-Chancellor's Academic Excellence Undergraduate Scholarships"